75	75
0	2	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	19	0	0	0	0	6	0	0	0	0	11	0	0	0	10	0	0	0	16	0	0	0	0	0	0	0	0	
0	17	17	0	0	15	0	0	0	0	1	0	14	4	0	0	18	0	0	0	0	10	0	0	0	0	15	0	0	0	15	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	20	0	
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	10	0	1	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	19	0	3	0	0	0	0	0	2	0	0	0	0	13	1	0	0	11	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	18	0	0	0	14	0	0	0	0	2	0	0	0	0	0	0	3	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	11	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0	10	0	0	12	0	0	0	10	0	0	0	0	0	0	0	0	0	1	0	0	13	0	0	13	0	16	0	0	0	0	0	0	13	0	0	0	19	1	0	1	11	0	0	0	0	0	0	
0	0	13	0	0	0	15	0	0	0	11	0	0	0	0	0	0	0	0	18	1	0	0	0	0	0	1	0	0	0	0	0	2	0	1	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	3	0	15	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	18	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	1	0	0	0	0	17	0	0	0	0	12	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	19	0	0	3	0	0	0	0	0	0	0	
0	0	0	0	0	1	0	0	0	0	18	11	0	20	1	0	2	0	0	1	0	0	0	13	0	0	0	0	0	0	11	0	0	19	0	17	0	2	0	5	0	0	0	0	0	0	0	7	0	1	0	0	0	0	0	0	19	19	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	1	
0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	16	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	1	0	0	0	0	4	0	1	0	1	0	1	0	0	0	0	0	
2	0	14	1	0	0	18	0	0	0	0	0	0	1	0	10	0	0	0	0	0	0	0	0	0	0	17	17	0	0	0	0	0	0	0	0	17	0	0	0	0	11	0	0	0	2	0	0	0	0	0	0	0	0	0	10	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
10	0	0	0	0	0	0	11	0	1	0	0	0	0	0	0	2	0	0	17	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	13	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	
